DATE,SHIFT,ROUTE,TOTAL
19,OUT 7AM,Cabuyao,0
19,OUT 7AM,Calamba,0
19,OUT 4PM,Alabang,0
19,OUT 4PM,Binan,0
19,OUT 4PM,Carmona,0
19,OUT 4PM,Balibago,0
19,OUT 4PM,Tagapo,0
19,OUT 4PM,Cabuyao,0
19,OUT 4PM,Calamba,0
19,OUT 6PM,Alabang,0
19,OUT 6PM,Binan,0
19,OUT 6PM,Carmona,0
19,OUT 6PM,Balibago,0
19,OUT 6PM,Tagapo,0
19,OUT 6PM,Cabuyao,0
19,OUT 6PM,Calamba,0
19,IN 7PM,Alabang,0
19,IN 7PM,Binan,0
19,IN 7PM,Carmona,0
19,IN 7PM,Balibago,0
19,IN 7PM,Tagapo,0
19,IN 7PM,Cabuyao,0
19,IN 7PM,Calamba,0
19,OUT 7PM,Alabang,0
19,OUT 7PM,Binan,0
19,OUT 7PM,Carmona,0
19,OUT 7PM,Balibago,0
19,OUT 7PM,Tagapo,0
19,OUT 7PM,Cabuyao,0
19,OUT 7PM,Calamba,0
19,IN 10PM,Alabang,0
19,IN 10PM,Binan,0
19,IN 10PM,Carmona,0
19,IN 10PM,Balibago,0
19,IN 10PM,Tagapo,0
19,IN 10PM,Cabuyao,0
19,IN 10PM,Calamba,0
20,OUT 4AM,Alabang,0
20,OUT 4AM,Binan,0
20,OUT 4AM,Carmona,0
20,OUT 4AM,Balibago,0
20,OUT 4AM,Tagapo,0
20,OUT 4AM,Cabuyao,0
20,OUT 4AM,Calamba,0
20,IN 7AM,Alabang,0
20,IN 7AM,Binan,0
20,IN 7AM,Carmona,0
20,IN 7AM,Balibago,0
20,IN 7AM,Tagapo,0
20,IN 7AM,Cabuyao,0
20,IN 7AM,Calamba,0
20,OUT 7AM,Alabang,0
20,OUT 7AM,Binan,0
20,OUT 7AM,Carmona,0
20,OUT 7AM,Balibago,0
20,OUT 7AM,Tagapo,0
20,OUT 7AM,Cabuyao,0
20,OUT 7AM,Calamba,0
20,OUT 4PM,Alabang,0
20,OUT 4PM,Binan,0
20,OUT 4PM,Carmona,0
20,OUT 4PM,Balibago,0
20,OUT 4PM,Tagapo,0
20,OUT 4PM,Cabuyao,0
20,OUT 4PM,Calamba,0
20,OUT 6PM,Alabang,0
20,OUT 6PM,Binan,0
20,OUT 6PM,Carmona,0
20,OUT 6PM,Balibago,0
20,OUT 6PM,Tagapo,0
20,OUT 6PM,Cabuyao,0
20,OUT 6PM,Calamba,0
20,IN 7PM,Alabang,0
20,IN 7PM,Binan,0
20,IN 7PM,Carmona,0
20,IN 7PM,Balibago,0
20,IN 7PM,Tagapo,0
20,IN 7PM,Cabuyao,0
20,IN 7PM,Calamba,0
20,OUT 7PM,Alabang,0
20,OUT 7PM,Binan,0
20,OUT 7PM,Carmona,0
20,OUT 7PM,Balibago,0
20,OUT 7PM,Tagapo,0
20,OUT 7PM,Cabuyao,0
20,OUT 7PM,Calamba,0
20,IN 10PM,Alabang,0
20,IN 10PM,Binan,0
20,IN 10PM,Carmona,0
20,IN 10PM,Balibago,0
20,IN 10PM,Tagapo,0
20,IN 10PM,Cabuyao,0
20,IN 10PM,Calamba,0
21,OUT 4AM,Alabang,0
21,OUT 4AM,Binan,0
21,OUT 4AM,Carmona,0
21,OUT 4AM,Balibago,0
21,OUT 4AM,Tagapo,0
21,OUT 4AM,Cabuyao,0
21,OUT 4AM,Calamba,0
21,IN 7AM,Alabang,0
21,IN 7AM,Binan,0
21,IN 7AM,Carmona,0
21,IN 7AM,Balibago,0
21,IN 7AM,Tagapo,0
21,IN 7AM,Cabuyao,0
21,IN 7AM,Calamba,0
21,OUT 7AM,Alabang,0
21,OUT 7AM,Binan,0
21,OUT 7AM,Carmona,0
21,OUT 7AM,Balibago,0
21,OUT 7AM,Tagapo,0
21,OUT 7AM,Cabuyao,0
21,OUT 7AM,Calamba,0
21,OUT 4PM,Alabang,0
21,OUT 4PM,Binan,0
21,OUT 4PM,Carmona,0
21,OUT 4PM,Balibago,0
21,OUT 4PM,Tagapo,0
21,OUT 4PM,Cabuyao,0
21,OUT 4PM,Calamba,0
21,OUT 6PM,Alabang,0
21,OUT 6PM,Binan,0
21,OUT 6PM,Carmona,0
21,OUT 6PM,Balibago,0
21,OUT 6PM,Tagapo,0
21,OUT 6PM,Cabuyao,0
21,OUT 6PM,Calamba,0
21,IN 7PM,Alabang,0
21,IN 7PM,Binan,0
21,IN 7PM,Carmona,0
21,IN 7PM,Balibago,0
21,IN 7PM,Tagapo,0
21,IN 7PM,Cabuyao,0
21,IN 7PM,Calamba,0
21,OUT 7PM,Alabang,0
21,OUT 7PM,Binan,0
21,OUT 7PM,Carmona,0
21,OUT 7PM,Balibago,0
21,OUT 7PM,Tagapo,0
21,OUT 7PM,Cabuyao,0
21,OUT 7PM,Calamba,0
21,IN 10PM,Alabang,0
21,IN 10PM,Binan,0
21,IN 10PM,Carmona,0
21,IN 10PM,Balibago,0
21,IN 10PM,Tagapo,0
21,IN 10PM,Cabuyao,0
21,IN 10PM,Calamba,0
22,OUT 4AM,Alabang,0
22,OUT 4AM,Binan,0
22,OUT 4AM,Carmona,0
22,OUT 4AM,Balibago,0
22,OUT 4AM,Tagapo,0
22,OUT 4AM,Cabuyao,0
22,OUT 4AM,Calamba,0
22,IN 7AM,Alabang,0
22,IN 7AM,Binan,0
22,IN 7AM,Carmona,0
22,IN 7AM,Balibago,0
22,IN 7AM,Tagapo,0
22,IN 7AM,Cabuyao,0
22,IN 7AM,Calamba,0
22,OUT 7AM,Alabang,0
22,OUT 7AM,Binan,0
22,OUT 7AM,Carmona,0
22,OUT 7AM,Balibago,0
22,OUT 7AM,Tagapo,0
22,OUT 7AM,Cabuyao,0
22,OUT 7AM,Calamba,0
22,OUT 4PM,Alabang,0
22,OUT 4PM,Binan,0
22,OUT 4PM,Carmona,0
22,OUT 4PM,Balibago,0
22,OUT 4PM,Tagapo,0
22,OUT 4PM,Cabuyao,0
22,OUT 4PM,Calamba,0
22,OUT 6PM,Alabang,0
22,OUT 6PM,Binan,0
22,OUT 6PM,Carmona,0
22,OUT 6PM,Balibago,0
22,OUT 6PM,Tagapo,0
22,OUT 6PM,Cabuyao,0
22,OUT 6PM,Calamba,0
22,IN 7PM,Alabang,0
22,IN 7PM,Binan,0
22,IN 7PM,Carmona,0
22,IN 7PM,Balibago,0
22,IN 7PM,Tagapo,0
22,IN 7PM,Cabuyao,0
22,IN 7PM,Calamba,0
22,OUT 7PM,Alabang,0
22,OUT 7PM,Binan,0
22,OUT 7PM,Carmona,0
22,OUT 7PM,Balibago,0
22,OUT 7PM,Tagapo,0
22,OUT 7PM,Cabuyao,0
22,OUT 7PM,Calamba,0
22,IN 10PM,Alabang,0
22,IN 10PM,Binan,0
22,IN 10PM,Carmona,0
22,IN 10PM,Balibago,0
22,IN 10PM,Tagapo,0
22,IN 10PM,Cabuyao,0
22,IN 10PM,Calamba,0
23,OUT 4AM,Alabang,0
23,OUT 4AM,Binan,0
23,OUT 4AM,Carmona,0
23,OUT 4AM,Balibago,0
23,OUT 4AM,Tagapo,0
23,OUT 4AM,Cabuyao,0
23,OUT 4AM,Calamba,0
23,IN 7AM,Alabang,0
23,IN 7AM,Binan,0
23,IN 7AM,Carmona,0
23,IN 7AM,Balibago,0
23,IN 7AM,Tagapo,0
23,IN 7AM,Cabuyao,0
23,IN 7AM,Calamba,0
23,OUT 7AM,Alabang,0
23,OUT 7AM,Binan,0
23,OUT 7AM,Carmona,0
23,OUT 7AM,Balibago,0
23,OUT 7AM,Tagapo,0
23,OUT 7AM,Cabuyao,0
23,OUT 7AM,Calamba,0
23,OUT 4PM,Alabang,0
23,OUT 4PM,Binan,0
23,OUT 4PM,Carmona,0
23,OUT 4PM,Balibago,0
23,OUT 4PM,Tagapo,0
23,OUT 4PM,Cabuyao,0
23,OUT 4PM,Calamba,0
